code,wind_code,name,date,time,volume,turover,settle,position,cur_delta,trade_flag,accvolume,accturover,high,low,open,price,pre_close,pre_settle,pre_position,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5
ag,AG.SHF,沪银活跃-ag1612,20170103,73006500,0,0,0,708376,0,0,0,0,0,0,0,41130000,41130000,41020000,708376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,85900500,568,34727520,0,708508,0,0,568,34727520,40760000,40760000,40760000,40760000,41130000,41020000,708376,0,0,0,0,40760000,40750000,0,0,0,0,0,0,0,0,68,3,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90000500,330,20171730,0,708742,0,0,898,54899250,40760000,40730000,40760000,40740000,41130000,41020000,708376,0,0,0,0,40770000,40760000,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90001000,814,49739250,0,708816,0,0,1712,104638500,40770000,40720000,40760000,40760000,41130000,41020000,708376,0,0,0,0,40750000,40720000,0,0,0,0,0,0,0,0,15,147,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90001500,1178,71984070,0,708404,0,0,2890,176622570,40770000,40720000,40760000,40740000,41130000,41020000,708376,0,0,0,0,40740000,40730000,0,0,0,0,0,0,0,0,23,6,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90002000,462,28234080,0,708366,0,0,3352,204856650,40780000,40720000,40760000,40780000,41130000,41020000,708376,0,0,0,0,40780000,40770000,0,0,0,0,0,0,0,0,20,3,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90002500,372,22741770,0,708260,0,0,3724,227598420,40780000,40720000,40760000,40780000,41130000,41020000,708376,0,0,0,0,40780000,40760000,0,0,0,0,0,0,0,0,225,3,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90003000,244,14914500,0,708202,0,0,3968,242512920,40780000,40720000,40760000,40770000,41130000,41020000,708376,0,0,0,0,40770000,40760000,0,0,0,0,0,0,0,0,5,9,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90003500,142,8683860,0,708126,0,0,4110,251196780,40780000,40720000,40760000,40770000,41130000,41020000,708376,0,0,0,0,40760000,40750000,0,0,0,0,0,0,0,0,1,10,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90004000,120,7337010,0,708188,0,0,4230,258533790,40780000,40720000,40760000,40770000,41130000,41020000,708376,0,0,0,0,40770000,40750000,0,0,0,0,0,0,0,0,89,2,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90004500,284,17356650,0,708246,0,0,4514,275890440,40780000,40720000,40760000,40760000,41130000,41020000,708376,0,0,0,0,40760000,40750000,0,0,0,0,0,0,0,0,11,3,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90005000,282,17240340,0,708182,0,0,4796,293130780,40780000,40720000,40760000,40740000,41130000,41020000,708376,0,0,0,0,40750000,40740000,0,0,0,0,0,0,0,0,29,83,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90005500,424,25916940,0,707976,0,0,5220,319047720,40780000,40720000,40760000,40750000,41130000,41020000,708376,0,0,0,0,40750000,40740000,0,0,0,0,0,0,0,0,56,49,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90006000,184,11246190,0,707898,0,0,5404,330293910,40780000,40720000,40760000,40750000,41130000,41020000,708376,0,0,0,0,40750000,40740000,0,0,0,0,0,0,0,0,76,22,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90006500,242,14791590,0,707870,0,0,5646,345085500,40780000,40720000,40760000,40750000,41130000,41020000,708376,0,0,0,0,40750000,40730000,0,0,0,0,0,0,0,0,28,5,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90007000,230,14061000,0,707702,0,0,5876,359146500,40780000,40720000,40760000,40750000,41130000,41020000,708376,0,0,0,0,40760000,40750000,0,0,0,0,0,0,0,0,3,11,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90007500,126,7703340,0,707704,0,0,6002,366849840,40780000,40720000,40760000,40760000,41130000,41020000,708376,0,0,0,0,40760000,40750000,0,0,0,0,0,0,0,0,81,13,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90008000,120,7333470,0,707656,0,0,6122,374183310,40780000,40720000,40760000,40750000,41130000,41020000,708376,0,0,0,0,40750000,40740000,0,0,0,0,0,0,0,0,132,1,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90008500,100,6111750,0,707670,0,0,6222,380295060,40780000,40720000,40760000,40750000,41130000,41020000,708376,0,0,0,0,40740000,40730000,0,0,0,0,0,0,0,0,1,17,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90009000,22,1344660,0,707674,0,0,6244,381639720,40780000,40720000,40760000,40750000,41130000,41020000,708376,0,0,0,0,40750000,40740000,0,0,0,0,0,0,0,0,114,23,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90009500,160,9778980,0,707740,0,0,6404,391418700,40780000,40720000,40760000,40740000,41130000,41020000,708376,0,0,0,0,40750000,40740000,0,0,0,0,0,0,0,0,68,3,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90010000,46,2811630,0,707772,0,0,6450,394230330,40780000,40720000,40760000,40740000,41130000,41020000,708376,0,0,0,0,40740000,40730000,0,0,0,0,0,0,0,0,5,9,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,90010500,72,4400280,0,707808,0,0,6522,398630610,40780000,40720000,40760000,40730000,41130000,41020000,708376,0,0,0,0,40740000,40730000,0,0,0,0,0,0,0,0,65,21,0,0,0,0
